Tahun;Minggu;Curah_Hujan_mm;Suhu_C;Kelembapan_%;Penyinaran_Jam;Hasil_Panen_Kg
2018;30;74.4;27.4;78.9;6.2;497.6
2018;31;76.5;28.0;79.8;6.9;495.1
2018;32;96.7;28.3;77.6;7.2;493.1
2018;33;127.7;27.7;79.6;7.9;489.5
2018;34;84.2;29.4;75.4;7.9;512.8
2018;35;68.4;29.0;76.8;8.4;544.5
2018;36;82.6;28.5;76.3;9.7;549.0
2018;37;74.8;28.5;77.7;8.1;532.2
2018;38;45.5;29.6;76.0;8.2;550.1
2018;39;37.3;27.8;73.0;7.9;557.8
2018;40;91.7;28.3;76.4;7.9;518.7
2018;41;29.6;29.2;74.6;7.5;521.6
2018;42;19.6;29.3;74.7;9.1;583.2
2018;43;82.6;28.7;79.5;8.9;535.9
2018;44;67.3;29.6;77.6;7.6;538.6
2018;45;94.8;28.3;78.7;7.9;531.1
2018;46;67.2;29.3;80.3;7.5;510.6
2018;47;67.9;29.3;77.1;7.4;545.3
2018;48;113.0;28.6;80.3;7.2;472.7
2018;49;119.0;27.8;84.9;6.2;461.9
2018;50;119.5;27.9;81.4;7.4;515.0
2018;51;132.4;28.1;83.0;6.8;464.9
2018;52;140.7;28.6;83.3;6.5;466.7
2019;1;162.0;28.1;84.8;6.1;414.9
2019;2;150.8;27.8;82.9;6.5;448.2
2019;3;132.2;28.1;85.1;5.9;429.4
2019;4;175.6;27.5;86.4;6.2;435.5
2019;5;187.2;28.3;86.7;6.4;422.3
2019;6;196.8;28.0;89.1;6.2;434.3
2019;7;210.1;26.1;85.4;5.5;402.6
2019;8;229.7;27.0;89.9;4.5;371.0
2019;9;239.6;27.4;89.2;5.4;418.2
2019;10;245.1;26.9;88.1;4.9;395.1
2019;11;203.6;25.9;90.6;5.5;415.4
2019;12;224.9;27.1;90.4;4.1;384.2
2019;13;251.6;27.2;89.7;5.2;404.5
2019;14;211.1;27.7;91.6;4.9;412.0
2019;15;231.7;26.7;91.1;4.8;408.5
2019;16;215.0;26.7;87.8;5.5;412.2
2019;17;210.1;26.5;94.3;5.0;393.2
2019;18;205.9;27.8;88.2;4.4;394.7
2019;19;237.0;27.9;90.9;4.8;372.8
2019;20;193.0;27.1;87.7;5.9;422.3
2019;21;177.3;26.9;88.4;5.7;444.4
2019;22;158.8;27.3;88.8;5.9;461.2
2019;23;189.3;28.0;84.3;5.8;438.1
2019;24;203.8;28.1;84.5;6.2;444.0
2019;25;147.4;28.2;86.0;7.8;515.7
2019;26;145.7;27.7;80.6;7.1;494.5
2019;27;156.2;28.3;82.2;6.7;478.6
2019;28;81.6;27.4;76.4;6.7;486.7
2019;29;129.7;28.4;81.6;7.1;477.1
2019;30;78.5;28.6;79.7;6.7;486.0
2019;31;69.7;28.1;81.5;7.7;525.3
2019;32;63.3;28.4;80.8;7.3;502.7
2019;33;84.7;29.3;80.2;8.0;514.3
2019;34;72.5;29.1;76.8;7.8;534.1
2019;35;95.7;28.0;76.9;7.1;495.8
2019;36;50.3;30.0;77.5;7.5;550.8
2019;37;24.9;29.3;79.8;8.5;566.5
2019;38;60.6;28.9;76.7;7.4;526.2
2019;39;38.1;29.4;75.4;8.3;544.2
2019;40;36.7;29.3;75.6;7.7;527.3
2019;41;49.9;29.2;76.7;8.0;539.9
2019;42;96.6;28.8;70.8;7.5;496.7
2019;43;81.8;29.5;75.8;8.2;528.3
2019;44;43.5;28.9;78.0;7.3;524.6
2019;45;93.0;27.9;78.1;8.3;537.1
2019;46;60.3;28.5;78.4;8.3;565.0
2019;47;93.0;29.2;78.7;7.3;521.2
2019;48;127.7;29.4;78.3;6.7;505.4
2019;49;69.9;28.2;79.3;8.0;526.4
2019;50;128.2;28.3;80.8;7.3;474.9
2019;51;110.4;27.9;81.8;6.3;473.2
2019;52;179.8;27.9;84.8;6.3;464.8
2020;1;130.1;28.3;84.6;6.5;451.7
2020;2;153.2;28.4;81.6;5.8;454.4
2020;3;207.3;28.2;88.2;5.6;426.3
2020;4;168.4;27.4;86.5;5.2;444.8
2020;5;191.9;27.2;85.2;6.2;447.8
2020;6;194.3;26.7;89.2;5.2;427.3
2020;7;207.4;28.0;88.1;6.1;445.5
2020;8;189.7;27.0;91.9;5.2;408.0
2020;9;221.2;27.7;89.9;4.8;373.6
2020;10;254.3;26.6;91.7;3.9;354.9
2020;11;211.7;27.5;88.6;5.1;434.2
2020;12;231.6;26.6;89.3;4.1;388.1
2020;13;242.5;27.2;87.9;3.4;353.4
2020;14;223.4;26.5;88.2;4.5;398.6
2020;15;189.7;26.8;91.6;3.4;373.2
2020;16;224.7;27.1;93.2;4.8;385.0
2020;17;211.6;27.1;87.4;4.0;370.2
2020;18;208.9;28.0;87.5;4.7;381.6
2020;19;231.5;27.4;89.9;5.4;396.7
2020;20;203.4;26.8;88.6;6.0;466.8
2020;21;175.2;28.0;88.7;4.8;419.9
2020;22;206.4;27.2;87.1;5.6;425.1
2020;23;158.8;27.7;86.4;5.5;423.8
2020;24;160.4;27.5;84.7;5.6;450.5
2020;25;155.7;27.2;86.8;5.8;436.8
2020;26;160.7;27.6;87.1;5.1;383.0
2020;27;133.2;27.4;82.3;6.2;454.9
2020;28;123.7;28.3;80.8;6.6;471.9
2020;29;95.8;28.9;78.4;7.3;507.7
2020;30;66.2;28.6;82.0;7.2;519.7
2020;31;87.7;28.6;80.7;7.4;515.0
2020;32;52.4;28.7;74.8;7.4;509.0
2020;33;80.1;28.5;81.5;7.6;497.3
2020;34;28.4;28.8;76.6;8.4;563.2
2020;35;74.2;28.4;74.3;7.8;505.6
2020;36;58.3;28.8;77.9;7.9;500.8
2020;37;64.9;30.3;77.5;7.3;496.8
2020;38;79.5;28.9;76.0;7.9;536.5
2020;39;53.8;28.4;75.0;8.1;525.8
2020;40;64.0;28.6;75.2;9.3;582.7
2020;41;86.8;29.2;77.9;7.8;507.5
2020;42;29.1;29.2;77.9;8.5;548.7
2020;43;53.5;29.4;74.8;8.2;557.8
2020;44;75.6;29.0;78.3;8.3;530.2
2020;45;42.5;27.8;78.3;7.7;553.0
2020;46;83.0;29.7;76.7;8.6;546.7
2020;47;113.6;28.2;77.5;7.2;514.5
2020;48;107.8;29.1;77.6;8.4;542.7
2020;49;97.4;28.0;80.4;7.5;500.5
2020;50;130.1;27.7;84.0;7.7;508.2
2020;51;110.8;28.6;80.0;7.6;484.1
2020;52;136.5;28.4;80.9;5.4;436.8
2021;1;142.3;27.6;84.1;6.2;457.7
2021;2;145.7;27.5;85.5;5.5;422.5
2021;3;170.6;28.8;89.8;4.4;405.1
2021;4;178.6;27.5;86.1;5.3;420.6
2021;5;169.6;26.6;84.7;5.5;437.2
2021;6;241.6;27.0;89.5;5.3;394.1
2021;7;219.2;27.2;86.7;4.7;380.5
2021;8;194.3;27.4;89.1;4.3;373.5
2021;9;236.5;27.0;88.9;4.8;388.5
2021;10;207.4;27.6;91.7;4.9;366.4
2021;11;227.8;27.0;91.0;5.0;416.3
2021;12;225.5;25.8;93.6;5.9;422.6
2021;13;201.1;27.4;89.9;4.0;398.0
2021;14;276.9;27.1;89.9;4.1;355.5
2021;15;261.0;26.9;88.7;4.4;378.0
2021;16;204.5;27.3;87.9;5.2;437.8
2021;17;210.3;27.3;90.9;5.3;420.2
2021;18;237.7;26.0;88.5;4.5;385.9
2021;19;232.2;27.4;87.2;5.5;445.2
2021;20;196.0;27.3;88.6;5.3;432.1
2021;21;170.6;27.2;82.2;5.5;433.7
2021;22;168.9;27.1;86.8;7.3;450.7
2021;23;180.4;27.5;80.4;6.4;449.7
2021;24;148.3;27.7;83.4;6.9;458.1
2021;25;121.5;27.9;82.4;7.3;486.6
2021;26;163.9;27.9;80.1;7.9;478.3
2021;27;120.6;28.8;84.7;7.1;497.1
2021;28;154.4;29.1;83.3;7.1;446.0
2021;29;115.6;28.1;84.3;7.1;485.5
2021;30;93.6;28.8;79.2;7.8;536.0
2021;31;93.1;29.0;80.6;8.0;497.8
2021;32;68.1;28.9;79.4;7.8;487.8
2021;33;56.1;27.8;81.3;6.9;505.9
2021;34;81.4;28.4;74.7;7.9;486.1
2021;35;58.5;28.6;77.6;6.9;515.5
2021;36;73.7;28.5;77.2;8.2;552.5
2021;37;66.4;28.9;72.8;7.4;508.2
2021;38;35.6;28.7;78.3;8.4;562.5
2021;39;50.4;28.9;74.6;7.6;527.5
2021;40;76.0;29.0;77.6;7.7;513.9
2021;41;52.3;29.1;76.1;8.2;535.2
2021;42;65.0;29.1;75.7;7.7;511.6
2021;43;91.0;29.1;78.6;8.6;535.2
2021;44;72.1;29.0;74.2;8.2;521.0
2021;45;59.4;28.9;83.3;6.8;473.9
2021;46;82.2;27.7;78.1;6.4;489.6
2021;47;87.8;28.1;81.5;7.6;518.3
2021;48;77.0;28.7;77.5;8.8;555.3
2021;49;111.4;28.9;80.8;7.0;492.9
2021;50;86.1;28.0;81.8;6.5;516.3
2021;51;122.6;28.2;86.1;7.2;520.5
2021;52;142.9;27.2;78.0;5.8;449.6
2022;1;167.7;28.4;81.2;5.9;451.4
2022;2;121.5;27.3;85.1;6.2;476.9
2022;3;173.5;27.5;83.6;6.0;436.7
2022;4;195.4;26.8;89.8;5.2;406.9
2022;5;203.8;27.7;88.0;5.1;379.1
2022;6;196.3;27.7;88.5;5.9;426.2
2022;7;192.9;26.6;89.4;5.3;414.6
2022;8;212.5;27.0;87.9;5.4;400.7
2022;9;247.0;27.9;92.6;5.6;399.6
2022;10;241.0;27.0;89.8;5.1;392.5
2022;11;227.4;27.4;91.7;5.2;442.5
2022;12;267.7;27.1;90.2;5.0;394.5
2022;13;259.2;26.7;88.8;4.6;422.8
2022;14;253.4;26.2;90.2;3.6;361.9
2022;15;224.1;27.7;92.5;5.8;425.7
2022;16;236.7;27.7;90.9;4.4;371.7
2022;17;229.9;26.3;92.6;4.4;400.4
2022;18;211.0;26.4;89.3;4.8;377.8
2022;19;227.3;27.3;88.1;6.2;404.0
2022;20;227.9;27.7;88.5;3.8;382.5
2022;21;185.4;28.3;86.9;4.6;401.3
2022;22;173.7;27.7;85.6;6.3;460.1
2022;23;161.7;28.6;86.0;5.3;425.7
2022;24;186.8;28.4;86.5;5.5;418.1
2022;25;142.4;28.7;83.8;6.7;449.3
2022;26;98.0;28.0;84.1;6.6;488.9
2022;27;125.8;28.2;83.0;6.5;452.6
2022;28;113.2;28.9;76.6;6.5;478.9
2022;29;82.2;29.2;80.1;7.3;496.8
2022;30;87.2;28.4;78.8;7.0;483.2
2022;31;99.6;27.8;81.4;7.7;502.2
2022;32;91.0;28.0;78.0;7.0;493.0
2022;33;60.9;28.2;75.6;8.0;515.8
2022;34;43.4;28.9;78.0;7.9;514.2
2022;35;80.3;28.8;79.6;8.0;536.7
2022;36;25.5;28.7;75.5;9.2;559.3
2022;37;29.8;28.7;74.6;8.2;529.4
2022;38;33.0;29.4;71.5;8.7;571.5
2022;39;66.8;28.2;73.0;8.2;530.2
2022;40;21.9;29.5;79.4;7.9;538.5
2022;41;84.5;29.1;76.8;8.3;499.0
2022;42;37.1;29.6;74.1;8.8;568.2
2022;43;44.0;29.3;77.8;9.2;566.5
2022;44;68.6;28.3;81.1;6.7;498.4
2022;45;79.2;29.0;78.7;7.8;544.2
2022;46;101.0;29.2;83.2;7.3;498.9
2022;47;92.2;27.9;81.4;7.3;501.5
2022;48;105.4;28.5;77.8;7.5;485.1
2022;49;108.6;28.1;81.7;7.5;495.0
2022;50;129.7;28.6;82.6;6.1;424.7
2022;51;127.8;27.0;82.8;5.8;457.1
2022;52;118.7;27.0;79.0;6.6;440.5
2023;1;161.4;28.0;86.7;7.1;493.7
2023;2;140.1;27.5;86.2;5.8;450.4
2023;3;147.4;27.9;85.5;5.2;453.9
2023;4;160.7;27.8;88.5;5.6;436.9
2023;5;210.0;28.1;86.8;5.1;393.6
2023;6;187.0;28.1;84.0;4.9;393.1
2023;7;189.4;27.3;88.0;4.9;411.4
2023;8;217.3;26.4;89.0;4.5;378.1
2023;9;208.4;26.5;85.4;4.8;405.0
2023;10;214.4;26.4;90.2;5.5;409.5
2023;11;258.2;26.9;90.3;4.7;392.1
2023;12;237.3;27.5;90.2;5.3;417.3
2023;13;226.2;26.8;86.1;5.4;410.9
2023;14;212.9;27.3;93.4;5.1;417.7
2023;15;247.1;27.3;92.0;4.4;376.8
2023;16;196.8;26.9;89.2;4.6;395.7
2023;17;189.0;27.1;91.2;5.4;419.7
2023;18;227.3;27.1;90.0;5.3;404.0
2023;19;174.7;26.2;89.4;4.6;415.7
2023;20;235.6;27.7;87.2;5.9;441.9
2023;21;190.5;28.0;87.5;5.8;417.0
2023;22;177.4;27.1;85.7;5.3;434.2
2023;23;152.7;27.3;86.0;5.7;431.8
2023;24;183.2;27.6;87.5;5.4;381.7
2023;25;151.9;27.9;86.9;5.7;446.4
2023;26;120.6;28.2;85.0;6.6;464.1
2023;27;134.6;28.8;83.9;6.4;449.5
2023;28;119.0;28.7;81.8;6.5;463.3
2023;29;120.4;28.3;78.1;6.7;486.3
2023;30;105.5;28.2;80.7;7.1;474.1
2023;31;105.1;28.4;78.1;8.6;544.3
2023;32;86.2;28.0;80.0;7.7;502.9
2023;33;39.4;29.6;75.1;8.7;557.9
2023;34;47.0;29.1;75.6;7.5;522.7
2023;35;53.7;28.4;76.9;8.4;554.7
2023;36;39.5;28.8;73.8;8.9;575.5
2023;37;45.7;29.7;75.0;7.8;525.3
2023;38;50.0;29.1;75.3;8.6;555.3
2023;39;78.2;28.7;77.8;8.3;542.5
2023;40;62.0;28.0;77.0;7.5;525.9
2023;41;60.6;28.9;77.8;8.6;563.4
2023;42;34.4;29.4;75.4;8.2;542.9
2023;43;59.9;29.1;76.6;7.3;548.3
2023;44;69.8;28.7;79.4;7.8;514.9
2023;45;105.9;28.6;81.3;9.2;522.0
2023;46;54.0;28.7;80.7;7.3;509.4
2023;47;64.6;29.2;77.5;7.0;522.9
2023;48;112.2;28.6;77.8;7.2;484.7
2023;49;104.2;28.9;81.6;6.4;458.7
2023;50;125.2;28.5;80.0;6.4;446.5
2023;51;143.6;28.4;83.2;7.1;472.7
2023;52;142.4;27.7;82.1;5.2;434.2
2024;1;159.7;28.3;81.8;7.3;497.8
2024;2;148.0;27.4;86.3;6.0;442.7
2024;3;161.9;27.5;88.0;5.6;435.1
2024;4;200.0;28.3;85.7;5.3;424.8
2024;5;203.0;27.0;92.1;5.1;423.1
2024;6;186.9;27.8;91.6;5.1;392.4
2024;7;218.0;27.3;85.0;6.2;422.7
2024;8;192.7;28.1;89.3;5.3;429.3
2024;9;258.3;27.2;87.0;3.3;343.2
2024;10;253.0;26.7;88.4;5.7;412.2
2024;11;218.0;27.2;89.9;5.1;406.3
2024;12;234.4;26.4;91.6;5.0;403.1
2024;13;241.8;27.0;89.4;2.8;347.2
2024;14;176.1;27.2;91.4;5.1;416.6
2024;15;242.9;27.7;89.3;4.7;408.4
2024;16;227.8;28.3;89.1;5.0;390.5
2024;17;225.0;26.9;86.0;3.8;378.2
2024;18;199.1;27.1;88.6;4.8;429.7
2024;19;203.2;27.0;86.3;5.7;416.0
2024;20;221.8;27.6;86.7;5.6;424.2
2024;21;176.2;27.6;87.7;5.5;439.1
2024;22;179.5;28.3;91.4;5.4;400.7
2024;23;179.1;27.9;85.8;5.1;427.0
2024;24;177.3;27.4;88.4;5.6;442.9
2024;25;148.8;27.2;83.9;6.2;493.5
2024;26;160.3;29.0;86.1;6.6;456.5
2024;27;162.6;27.6;82.3;6.4;465.6
2024;28;155.3;28.2;79.4;7.6;462.7
2024;29;115.2;28.1;81.6;7.4;480.6
2024;30;132.9;29.2;78.0;6.7;472.4
2024;31;66.1;28.1;81.2;7.6;528.5
2024;32;119.9;28.6;77.4;7.7;518.0
2024;33;77.7;27.8;76.5;7.0;482.7
2024;34;39.0;29.1;79.0;7.9;521.2
2024;35;63.1;28.9;75.0;7.6;519.3
2024;36;51.4;28.6;76.5;8.2;546.7
2024;37;73.7;28.8;77.1;8.7;515.4
2024;38;51.1;28.8;76.6;9.5;562.6
2024;39;64.3;29.5;77.2;8.7;530.2
2024;40;48.8;29.0;75.8;7.9;542.8
2024;41;52.4;28.3;75.0;7.4;495.9
2024;42;68.6;29.2;79.7;7.4;523.7
2024;43;69.6;29.2;78.2;8.4;538.2
2024;44;52.5;29.3;72.3;7.4;523.2
2024;45;54.1;28.9;75.9;8.7;539.8
2024;46;65.8;28.5;79.1;7.3;493.2
2024;47;81.6;28.0;78.5;7.4;495.4
2024;48;109.2;29.0;76.0;8.4;523.6
2024;49;112.8;27.7;76.3;8.2;515.2
2024;50;140.2;28.6;79.0;6.9;478.1
2024;51;129.1;28.1;83.6;6.2;448.3
2024;52;131.2;28.1;81.7;6.4;480.3
2025;1;162.0;27.6;78.3;5.5;433.2
2025;2;170.5;27.3;85.6;5.8;443.5
2025;3;148.5;27.5;85.0;6.1;441.2
2025;4;184.9;26.9;85.4;4.2;384.8
2025;5;171.0;27.7;85.5;5.7;440.6
2025;6;193.0;27.4;91.9;5.1;395.9
2025;7;196.3;27.4;89.2;5.1;411.8
2025;8;211.5;25.9;89.8;5.1;408.2
2025;9;237.0;27.5;91.4;4.9;387.0
2025;10;234.6;26.3;92.0;4.6;390.1
2025;11;215.1;27.0;91.4;4.2;365.3
2025;12;226.1;26.5;92.8;4.6;386.4
2025;13;228.8;26.5;88.1;6.0;445.0
2025;14;221.2;27.0;91.2;4.4;371.7
2025;15;227.8;27.3;92.3;5.7;419.0
2025;16;236.0;27.1;92.6;4.2;396.2
2025;17;197.7;27.3;91.1;4.9;403.6
2025;18;228.7;27.2;87.0;4.5;376.9
2025;19;215.5;26.7;89.4;4.6;396.6
2025;20;188.4;27.0;87.7;5.0;418.6
2025;21;179.7;26.5;83.0;4.6;416.5
2025;22;183.4;27.0;85.4;6.2;420.7
2025;23;180.4;28.0;82.5;5.7;409.4
2025;24;176.0;27.5;82.0;6.1;440.3
2025;25;156.4;27.2;87.5;6.5;443.4
2025;26;166.0;28.0;81.4;6.3;459.0
2025;27;138.1;28.4;82.8;7.2;482.1
2025;28;113.2;28.2;83.5;7.1;464.1
2025;29;87.8;27.8;80.7;8.1;494.6
2025;30;67.9;27.7;79.5;6.9;510.2
2025;31;55.4;28.7;77.7;8.2;536.2
2025;32;67.0;28.0;80.6;7.4;492.0
2025;33;56.0;28.8;78.1;7.5;516.9
2025;34;57.7;29.4;75.8;7.4;503.1
2025;35;54.5;29.3;76.7;8.0;549.3
2025;36;69.1;29.0;80.3;7.3;530.7
2025;37;64.9;28.3;78.5;8.9;543.5
2025;38;35.8;28.7;78.7;8.6;535.4
2025;39;76.0;29.5;73.6;8.5;538.4
2025;40;52.4;29.3;76.9;8.8;550.1
2025;41;46.8;28.9;70.5;8.1;556.3
2025;42;43.6;28.3;77.4;9.6;562.2
2025;43;68.4;28.6;74.3;7.8;515.6
2025;44;59.6;28.2;74.6;7.1;506.8
2025;45;72.5;29.2;79.5;7.3;502.5
2025;46;67.0;28.0;77.2;6.8;471.1
2025;47;101.6;28.5;77.3;7.8;518.1
2025;48;121.9;28.2;80.0;7.1;476.9
2025;49;124.6;28.5;78.4;7.1;495.0
2025;50;114.5;28.2;85.8;6.4;463.8
2025;51;154.6;28.2;81.8;6.0;455.1
2025;52;149.2;28.5;85.5;6.7;459.4
